date,thickness_inches
1989-02-26,42
1989-03-16,37.5
1989-03-21,40.5
1989-03-25,41.5
1989-03-28,42
1989-04-4,42
1989-04-10,43
1989-04-12,40
1990-02-25,35
1990-03-9,38
1990-03-19,42
1990-03-23,40
1990-03-26,41
1990-03-30,36
1991-02-14,28
1991-02-25,28
1991-03-5,36
1991-03-17,33
1991-03-26,35
1991-04-1,38
1991-04-8,42
1991-04-10,39.5
1991-04-18,38
1992-02-24,42
1992-03-1,42
1992-03-10,46
1992-03-14,46
1992-03-24,42
1992-03-27,45
1992-03-30,45
1992-04-1,45
1992-04-3,47
1992-04-11,47
1992-04-13,47
1992-04-15,47
1992-04-18,47
1992-04-22,47
1993-02-20,30
1993-02-26,30
1993-03-6,29
1993-03-24,26
1993-03-31,28
1993-04-1,27
1993-04-2,25
1993-04-4,26
1993-04-8,24
1993-04-9,25
1994-01-20,36
1994-02-4,43
1994-02-17,47
1994-02-24,51
1994-03-3,51
1994-03-13,52
1994-03-24,52
1994-03-28,55
1994-03-31,58
1994-04-3,51
1994-04-8,54
1994-04-14,57.5
1994-04-18,52
1994-04-22,46
1995-01-27,23
1995-02-8,24
1995-02-17,24.5
1995-02-20,25
1995-02-28,29
1995-03-6,28
1995-03-15,34
1995-03-23,32.5
1995-03-28,34
1995-03-31,34
1995-04-7,34
1995-04-11,33
1995-04-13,32
1996-02-10,41
1996-02-23,44
1996-02-29,46
1996-03-6,46
1996-03-12,44
1996-03-19,45
1996-03-25,46.5
1996-03-27,45.5
1996-04-1,46
1996-04-4,45
1996-04-8,45
1996-04-16,45
1996-04-19,43.7
1996-04-22,41.5
1997-01-20,31
1997-02-4,46
1997-02-19,46
1997-02-25,46
1997-03-4,44
1997-03-11,44.5
1997-03-18,44.5
1997-04-1,43
1997-04-4,42.5
1998-01-22,41
1998-02-5,45
1998-02-18,43
1998-02-25,38.5
1998-03-4,38.5
1998-03-8,46
1998-03-11,46.5
1998-03-18,42.3
1998-03-25,42
1998-03-30,34.5
1998-04-1,34.3
1998-04-3,38
1999-01-14,34
1999-02-12,43
1999-02-17,45
1999-02-24,43
1999-03-1,44
1999-03-8,44
1999-03-11,45
1999-03-15,47
1999-03-18,46
1999-03-22,48
1999-03-25,47
1999-03-29,43
1999-04-1,44
1999-04-5,46
1999-04-8,47
1999-04-12,45
1999-04-15,43
2000-01-23,31
2000-02-13,31
2000-02-20,33
2000-02-27,33
2000-03-5,35
2000-03-12,36
2000-03-16,35
2000-03-19,32.6
2000-03-23,35.6
2000-03-30,36.7
2000-04-2,32.7
2000-04-4,37.7
2000-04-9,35
2000-04-13,36
2001-01-16,34.5
2001-02-6,37
2001-02-11,33.3
2001-02-19,33
2001-02-25,44
2001-03-4,42
2001-03-11,41
2001-03-18,37.3
2001-03-22,40.3
2001-03-26,38.7
2001-03-29,39
2001-04-2,39.3
2001-04-6,38.3
2001-04-12,36.3
2001-04-16,33.5
2002-01-14,42
2002-01-28,43.5
2002-02-14,47
2002-03-3,51
2002-03-12,51.5
2002-03-17,51
2002-03-20,50.5
2002-03-24,50.8
2002-03-27,49
2002-03-31,48
2002-04-3,48
2002-04-7,48
2002-04-11,48
2002-04-14,48
2002-04-17,45.5
2002-04-21,47.3
2002-04-25,44
2002-04-29,42
2003-01-13,30
2003-01-27,41
2003-02-10,40
2003-02-24,43.7
2003-03-2,43.7
2003-03-9,45.8
2003-03-17,48.2
